CEWID,ParticipantName,DBA,ParticipantRole,ParticipantStatus,EffectiveDate,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZipcode,PhysicalCounty,MailingAddress,MailingCity,MailingState,MailingZipcode,PhoneNumber,PrimaryContact,PrimaryContactEmail
103632,Certified Waste Solutions,"(a DBA of FRG Waste Resources, Inc.)",Collector,Active,3/27/2014,100 Dodd Ct ,American Canyon,CA,94503,Napa,100 Dodd Ct ,American Canyon,CA,94503,(707) 647-3700,Ron Rohrer,ron@frgwaste.com
103893,"Napa Recycling & Waste Services, LLC",,Collector,Active,1/9/2006,820 Levitin Way ,American Canyon,CA,94503,Napa,P.O. Box 239 ,Napa,CA,94559,(707) 255-5200,Tim Dewey-Mattia,tim@naparecycling.com
105519,"A D S Gold, Inc.",,Collector,Active,3/16/2018,3843 E Eagle Dr ,Anaheim,CA,92807,Orange,3843 E Eagle Dr ,Anaheim,CA,92807,(714) 632-1888,Mark Thornberg,mark@adsgold.com
103962,CVT Recycling,"(a DBA of Republic Waste Services of Southern California, LLC)",Collector,Active,9/11/2020,1131 N Blue Gum St ,Anaheim,CA,92806,Orange,2775 E Gretta Ln ,Anaheim,CA,92806,(714) 238-3397,Pierre Fany,pfany@republicservices.com
103778,Orange County Conservation Corps,,Collector,Active,2/16/2006,1853 N Raymond Ave ,Anaheim,CA,92801,Orange,1853 N Raymond Ave ,Anaheim,CA,92801,(714) 956-6222,Jeremy Newton,jnewton@occorps.org
112256,Salvation Army Adult Rehabilitation Center (Anaheim),,Collector,Active,12/13/2010,1300 S Lewis St ,Anaheim,CA,92805,Orange,1300 S Lewis St ,Anaheim,CA,92805,(714) 758-0414,Fernando Martinez,fernando.martinez@usw.salvationarmy.org
100957,"Silicon Salvage, Inc.",,Collector/Recycler,Active,1/1/2005,1500 N Dale Ave ,Anaheim,CA,92801,Orange,1500 N Dale Ave ,Anaheim,CA,92801,(714) 523-2425,Debbie Allen,debbie@siliconsalvage.com
113986,Recology Auburn Placer,,Collector,Active,5/18/2012,12305 Shale Ridge Ln ,Auburn,CA,95602,Placer,P.O. Box 6566 ,Auburn,CA,95604,(530) 885-3735,Kayli Bolek,kbolek@recology.com
110994,"Alianza Recycling and Recovery, LLC",,Collector,Active,11/10/2009,2301 Gibson St ,Bakersfield,CA,93308,Kern,8810 Rehco Rd Suite #C,San Diego,CA,92121,(661) 873-4011,Larry Kurschner,larry@alianzarecycling.com
127264,Farmworkers Institute of Education and Leadership Development (FIELD),,Collector,Active,4/13/2020,2240 South Union Ave ,Bakersfield,CA,93307,Kern,122 E. Tehachapi Blvd. Suite C,Tehachapi,CA,93561,(887) 887-1112,Rosa Ruelas,rruelas@fieldinstitute.org
101424,Goodwill Industries of South Central California,,Collector,Active,3/28/2012,4901 Stine Rd ,Bakersfield,CA,93313,Kern,P.O. Box 11238 ,Bakersfield,CA,93389,(661) 837-0595,Orlando Champion,ochampion@giscc.org
104804,The Salvation Army Adult Rehabilitation Center (Bakersfield),,Collector,Active,8/16/2006,200 19th St ,Bakersfield,CA,93301,Kern,200 19th St ,Bakersfield,CA,93301,(661) 325-8626,Shane Sanders,shane.sanders@usw.salvationarmy.org
102265,Allan Company,(a DBA of Cedarwood-Young Company),Collector,Active,4/22/2005,14618 Arrow Hwy ,Baldwin Park,CA,91706,Los Angeles,14620 Joanbridge St ,Baldwin Park,CA,91706,(626) 962-4047,Rich Hubbard,rhubbard@allancompany.com
101138,WM San Gabriel,"(a DBA of Waste Management Collection and Recycling, Inc.)",Collector,Active,1/1/2005,13940 Live Oak Ave ,Baldwin Park,CA,91706,Los Angeles,13940 Live Oak Ave ,Baldwin Park,CA,91706,(626) 598-9026,Marie Aranda,maranda@wm.com
101993,Riverside County Department of Waste Resources,,Collector,Active,3/28/2005,16411 Lamb Canyon Rd ,Beaumont,CA,92223,Riverside,14310 Frederick St ,Moreno Valley,CA,92553,(951) 486-3200,Andy Cortez,acortez@rivco.org
127314,Human-I-T,,Collector,Active,8/28/2020,4941 S Eastern Ave ,Bell,CA,90201,Los Angeles,4941 S Eastern Ave ,Bell,CA,90201,(888) 268-3921,Hong Liang,hong.liang@human-i-t.org
103415,"Advocacy for Respect and Choice – Long Beach, Inc.",,Collector,Active,5/9/2008,9334 Alondra Blvd ,Bellflower,CA,90706,Los Angeles,4519 E Stearns St ,Long Beach,CA,90815,(714) 578-4000,Kristi Flowers,kflowers@value-village-stores.org
127632,"Bellflower Recycling Center, Inc.",,Collector/Recycler,Active,4/12/2024,17326 Woodruff Ave ,Bellflower,CA,90706,Los Angeles,17326 Woodruff Ave ,Bellflower,CA,90706,(562) 804-7270,Jonathan Jaffee,jonathanjaffee@gmail.com
104529,"PN California, Inc.",,Collector,Active,6/14/2024,9016 Somerset Blvd ,Bellflower,CA,90706,Los Angeles,9016 Somerset Blvd ,Bellflower,CA,90706,(562) 418-5474,Parmod Jain,pjain@pncalifornia.com
100285,Computer & Technology Resource Center,,Collector,Active,1/3/2005,620 Page St ,Berkeley,CA,94710,Alameda,42 Digital Dr Ste 2,Novato,CA,94949,(415) 883-1428,Ron Berry,ronb@ewastecollective.org
102948,"Big Bear Disposal, Inc.",,Collector,Active,9/30/2020,41970 Garstin Dr ,Big Bear Lake,CA,92315,San Bernardino,41974 Garstin Dr ,Big Bear Lake,CA,92315,(909) 866-3942,Doug Corcoran,dcorcoran@bigbeardisposal.com
101594,Inyo County Recycling and Waste Management,,Collector,Active,3/22/2007,110 Sunland Reservation Rd ,Bishop,CA,93514,Inyo,1360 N Main St ,Bishop,CA,93514,(760) 873-7191,Cap Aubrey,faubrey@inyocounty.us
117058,Corporate eWaste Solutions,,Collector/Recycler,Active,8/20/2025,331 Cliffwood Park St ,Brea,CA,92821,Orange,331 Cliffwood Park St ,Brea,CA,92821,(888) 388-2397,John Kim,jkim@cews.com
100582,"GreenCitizen, Inc.",,Collector,Active,1/1/2005,1831 Bayshore Hwy Ste 2,Burlingame,CA,94010,San Mateo,1831 Bayshore Hwy Ste 2,Burlingame,CA,94010,(650) 493-8700,James Kao,james.kao@greencitizen.com
127098,"Waste Management of California, Inc. (California City)",,Collector,Active,8/16/2024,19201 Neuralia Rd ,California City,CA,93505,Kern,416 N Dennison Rd ,Tehachapi,CA,93561,(661) 223-3480,Paulamarie Young,pyoung3@wm.com
102356,"Upper Valley Recycling, Inc.",,Collector,Active,4/17/2017,4380 Silverado Trail ,Calistoga,CA,94515,Napa,P.O. Box 382 ,St Helena,CA,94574,(707) 963-7988,Terry Kenney,tkenney@wcnx.org
100241,"Clean Harbors Environmental Services, Inc.",,Collector,Active,1/1/2005,880 Verdulera St ,Camarillo,CA,93010,Ventura,880 Verdulera St ,Camarillo,CA,93010,(805) 914-1472,Javier Manzano,manzano.javier@cleanharbors.com
116971,CAL E-WASTE RECYCLE LLC,,Collector,Active,4/12/2018,7871 Alabama Ave Unit 1,Canoga Park,CA,91304,Los Angeles,7871 Alabama Ave Unit 1,Canoga Park,CA,91304,(818) 854-6643,Aram Nalbantian,aramjoseph@gmail.com
113133,The Salvation Army Adult Rehabilitation Center (Canoga Park),,Collector,Active,2/2/2015,21375 Roscoe Blvd ,Canoga Park,CA,91304,Los Angeles,21375 Roscoe Blvd ,Canoga Park,CA,91304,(818) 449-4610,Michael Jones,michael.jones@usw.salvationarmy.org
127605,US Innovation Group Inc,,Collector,Active,5/30/2025,7751 Alabama Ave Ste 16,Canoga Park,CA,91304,Los Angeles,7751 Alabama Ave Ste 16,Canoga Park,CA,91304,(818) 651-6700,Thomas Zulfi,posways@gmail.com
101116,Waste Management Carson Transfer Station,"(a DBA of USA Waste of California, Inc.)",Collector,Active,4/4/2005,321 W Francisco St ,Carson,CA,90745,Los Angeles,321 W Francisco St ,Carson,CA,90745,(310) 217-6300,Armando Bracamontes,abracamo@wm.com
102538,City of Cathedral City,,Collector,Active,4/22/2005,68385 Kieley Rd ,Cathedral City,CA,92234,Riverside,68700 Avenida Lalo Guerrero ,Cathedral City,CA,92234,(760) 770-0369,Deanna Pressgrove,dpressgrove@cathedralcity.gov
